file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
BAC009S0346W0240,0.0,5.6750625,S0346,-45.541600187059856,-47.14346941779642,13.95768694976547,11.500569256124841
BAC009S0203W0239,0.0,3.6750625,S0203,-49.52216903023098,-53.46104907989502,13.885886917958251,12.319702476735042
BAC009S0070W0494,0.0,5.718,S0070,-46.79276729130245,-48.1301837720369,13.876315893902225,13.34016758697642
BAC009S0095W0237,0.0,3.4549375,S0095,-44.47605581974638,-44.85791103656475,13.87631055623866,7.016420816244906
BAC009S0044W0333,0.0,3.407,S0044,-45.92685804618768,-45.64583939772386,13.87631055623866,12.160651807131888
BAC009S0703W0321,0.0,4.8930625,S0703,-45.565966896728014,-44.28161036173503,13.876308777017474,6.760020317172071
BAC009S0906W0130,0.0,6.8010625,S0906,-45.67750459558823,-45.110727310180664,13.838958890307183,4.667001153068632
BAC009S0336W0341,0.0,3.541,S0336,-43.47412385240113,-47.54405834800318,13.810434808294094,11.601795169253524
BAC009S0155W0204,0.0,7.657,S0155,-44.80528414654047,-46.64027137756348,13.801321822304534,8.997144426104626
BAC009S0522W0254,0.0,7.7679375,S0522,-50.43988799066924,-50.90264892578125,13.801321822304534,9.010003354532024
BAC009S0518W0427,0.0,7.1589375,S0518,-46.298140712290504,-47.5734969774882,13.790690253104657,7.326818184674973
BAC009S0724W0357,0.0,5.859125,S0724,-48.84958604415529,-53.51327625910441,13.790690253104657,8.337406393398158
BAC009S0205W0470,0.0,5.7849375,S0205,-47.19237605428201,-46.45961252848307,13.774586504613028,14.384227309961972
BAC009S0167W0356,0.0,3.6240625,S0167,-47.31981612569061,-48.226133558485245,13.743290208127236,12.123411162695408
BAC009S0230W0307,0.0,5.0660625,S0230,-50.512412167159766,-50.29870427449544,13.7429909045359,7.482734166821185
BAC009S0170W0431,0.0,6.8369375,S0170,-47.17668928179825,-45.390989515516495,13.737538311881089,4.818460599751141
BAC009S0663W0371,0.0,6.1418125,S0663,-47.9726944218241,-47.864549763997395,13.69304516524041,10.052127335513756
BAC009S0134W0229,0.0,6.9150625,S0134,-45.44868530979046,-45.95562393600876,13.69304516524041,6.7320959979131025
BAC009S0085W0209,0.0,7.293,S0085,-46.25139317558299,-47.08607225160341,13.692995461939379,8.968379650882913
